normalized_location,country,status
"bury st. edmunds, united kingdom",United Kingdom,direct_match
"bury, united kingdom",United Kingdom,direct_match
"busan, south korea","Korea, Republic of",direct_match
"bushey, united kingdom",United Kingdom,direct_match
"busselton, australia",Australia,direct_match
"bussum, the netherlands",Netherlands,direct_match
"buxtehude, germany",Germany,direct_match
"buxton, united kingdom",United Kingdom,direct_match
"bydgoszcz, poland",Poland,direct_match
"byron bay, australia",Australia,direct_match
"bystrice nad pernstejnem, czech republic",Czechia,direct_match
"cadishead, united kingdom",United Kingdom,direct_match
"caen, france",France,direct_match
"caerleon, united kingdom",United Kingdom,direct_match
"caernarfon, united kingdom",United Kingdom,direct_match
"caerphilly, united kingdom",United Kingdom,direct_match
"caersws, united kingdom",United Kingdom,direct_match
"cagliari, italy",Italy,direct_match
"cairns, australia",Australia,direct_match
"cairns, queensland",Unknown,unknown_fallback_cache
"cairns, queensland, australia",Australia,direct_match
cairo,Unknown,unknown_fallback_cache
"cairo governorate, egypt",Egypt,direct_match
"cairo, egypt",Egypt,direct_match
"calangute, india",India,direct_match
"calcutta, west bengal, india",India,direct_match
"calgary, canada",Canada,direct_match
california,Unknown,unknown_fallback_cache
"california desert, california",Unknown,unknown_fallback_cache
"callanish, united kingdom",United Kingdom,direct_match
"calne, united kingdom",United Kingdom,direct_match
"caloundra, australia",Australia,direct_match
"calpe, spain",Spain,direct_match
"camberley, surrey",Unknown,unknown_fallback_cache
"camberley, united kingdom",United Kingdom,direct_match
camberwell,Unknown,unknown_fallback_cache
"camberwell, australia",Australia,direct_match
cambridge uk,United Kingdom,direct_match
"cambridge, massachusetts",Unknown,unknown_fallback_cache
"cambridge, ontario",Unknown,unknown_fallback_cache
"cambridge, united kingdom",United Kingdom,direct_match
"cambridgeshire, united kingdom",United Kingdom,direct_match
"camden, united kingdom",United Kingdom,direct_match
"camp pendleton, california",Unknown,unknown_fallback_cache
canada,Canada,direct_match
"canada de calatrava, spain",Canada,direct_match
"canadensis, pa",Panama,direct_match
"canberra, act",Unknown,unknown_fallback_cache
"canberra, australia",Australia,direct_match
"cancun, mexico",Mexico,direct_match
"candolim, india",India,direct_match
"canggu, indonesia",Indonesia,direct_match
"cannes, france",France,direct_match
"cannes, provence-alpes-cote d azur, france",France,direct_match
"cannington, australia",Australia,direct_match
"cannon creek, australia",Australia,direct_match
"canterbury, australia",Australia,direct_match
"canterbury, united kingdom",United Kingdom,direct_match
"canton of geneva, switzerland",Switzerland,direct_match
"canton of neuchatel, switzerland",Switzerland,direct_match
"canton of zurich, switzerland",Switzerland,direct_match
"canvey island, united kingdom",United Kingdom,direct_match
cape town,Unknown,unknown_fallback_cache
"cape town central, south africa",South Africa,direct_match
"cape town, south africa",South Africa,direct_match
cape verde,Unknown,unknown_fallback_cache
"cape woolamai, australia",Australia,direct_match
"capelle aan den ijssel, the netherlands",Netherlands,direct_match
"caracas, venezuela","Venezuela, Bolivarian Republic of",direct_match
cardiff,Unknown,unknown_fallback_cache
"cardiff, united kingdom",United Kingdom,direct_match
"cardiff-by-the-sea, california",Belarus,direct_match
caribbean,Unknown,unknown_fallback_cache
carlisle,Unknown,unknown_fallback_cache
"carlisle, united kingdom",United Kingdom,direct_match
"carmarthen, united kingdom",United Kingdom,direct_match
carnforth,Unknown,unknown_fallback_cache
"carnforth, united kingdom",United Kingdom,direct_match
"carshalton, united kingdom",United Kingdom,direct_match
"cartagena, colombia",Colombia,direct_match
"carvoeiro, portugal",Portugal,direct_match
"cary, north carolina",Unknown,unknown_fallback_cache
"casablanca, morocco",Morocco,direct_match
"casper, wyoming",Unknown,unknown_fallback_cache
"castel goffredo, italy",Italy,direct_match
"castle donington, united kingdom",United Kingdom,direct_match
"castle hill, australia",Australia,direct_match
"cavan, ireland",Ireland,direct_match
"caythorpe, united kingdom",United Kingdom,direct_match
"celje, slovenia",Slovenia,direct_match
"centre hall, pennsylvania, united states",United States,direct_match
"centurion, south africa",South Africa,direct_match
"ceske budejovice, czech republic",Czechia,direct_match
"cesky krumlov, czech republic",Czechia,direct_match
chagford,Unknown,unknown_fallback_cache
"chalfont st. giles, united kingdom",United Kingdom,direct_match
"chamni, thailand",Thailand,direct_match
"chamonix, france",France,direct_match
"chandigarh, india",India,direct_match
"changchun, china",China,direct_match
"chania prefecture, greece",Greece,direct_match
"chapin, south carolina",Unknown,unknown_fallback_cache
"chapora, india",India,direct_match
"chardstock, united kingdom",United Kingdom,direct_match
"charlbury, united kingdom",United Kingdom,direct_match
"charleston, south carolina",Unknown,unknown_fallback_cache
"charlestown, australia",Australia,direct_match
"chatel-saint denis, switzerland",Switzerland,direct_match
"chatham, united kingdom",United Kingdom,direct_match
"chaweng, thailand",Thailand,direct_match
chelmsford,Unknown,unknown_fallback_cache
"chelmsford, united kingdom",United Kingdom,direct_match
cheltenham,Unknown,unknown_fallback_cache
"cheltenham, united kingdom",United Kingdom,direct_match
"chengdu, china",China,direct_match
chennai,Unknown,unknown_fallback_cache
"chennai district, india",India,direct_match
"chennai madras, india",India,direct_match
"chennai madras, tamil nadu, india",India,direct_match
"chennai, india",India,direct_match
"chennai, tamil nadu, india",India,direct_match
"chepstow, united kingdom",United Kingdom,direct_match
"chernivtsi, ukraine",Ukraine,direct_match
"cherry hills village, colorado",Unknown,unknown_fallback_cache
"chesham, united kingdom",United Kingdom,direct_match
cheshire,Unknown,unknown_fallback_cache
"cheshire, united kingdom",United Kingdom,direct_match
chester,Unknown,unknown_fallback_cache
"chester hill, australia",Australia,direct_match
"chester, united kingdom",United Kingdom,direct_match
"chester-le-street, united kingdom",United Kingdom,direct_match
"chesterfield, united kingdom",United Kingdom,direct_match
"cheze, france",France,direct_match
"chiang mai, thailand",Thailand,direct_match
chiangmai,Unknown,unknown_fallback_cache
"chiba, japan",Japan,direct_match
chicago,Unknown,unknown_fallback_cache
"chicago, illinois",Unknown,unknown_fallback_cache
chichester,Unknown,unknown_fallback_cache
"chichester, united kingdom",United Kingdom,direct_match
"chilworth, united kingdom",United Kingdom,direct_match
china,China,direct_match
"chippenham, united kingdom",United Kingdom,direct_match
"chipping ongar, united kingdom",United Kingdom,direct_match
"chorley, england, united kingdom",United Kingdom,direct_match
"chorley, united kingdom",United Kingdom,direct_match
christchirch,Unknown,unknown_fallback_cache
christchurch,Unknown,unknown_fallback_cache
christchurch nz,New Zealand,direct_match
"christchurch, new zealand",New Zealand,direct_match
"christchurch, united kingdom",United Kingdom,direct_match
"christmas island, australia",Christmas Island,direct_match
"chula vista, california",Unknown,unknown_fallback_cache
"chur, switzerland",Switzerland,direct_match
"church fenton, united kingdom",United Kingdom,direct_match
"church stretton, united kingdom",United Kingdom,direct_match
"cincinnati, ohio",Unknown,unknown_fallback_cache
"cinderford, united kingdom",United Kingdom,direct_match
